amount_in,amount_out,gas
0,0,0
50000000000000000,49949964795499490,162462
100000000000000000,99899836062116166,162462
150000000000000000,149849613800047770,162462
200000000000000000,199799296785634499,162462
250000000000000000,249748886242933940,162462
300000000000000000,299698380948288595,162462
350000000000000000,349647782737680785,162462
400000000000000000,399597089163600656,162462
450000000000000000,449546302062028799,162462
500000000000000000,499495420821237638,162462
550000000000000000,549444446053351375,162462
600000000000000000,599393376534719421,162462
650000000000000000,649342213489390139,162462
700000000000000000,699290955693715244,162462
750000000000000000,749239604371740793,162462
800000000000000000,799188158911742662,162462
850000000000000000,849136619313920310,162462
900000000000000000,899084985578473198,162462
950000000000000000,949033257705600786,162462
1000000000000000000,998981435695502531,162462
1050000000000000000,1048929520160296869,162462
1100000000000000000,1098877510488263129,162462
1150000000000000000,1148825406067682940,162462
1200000000000000000,1198773208122591987,162462
1250000000000000000,1248720916041271324,162462
1300000000000000000,1298668529823920404,162462
1350000000000000000,1348616050082654204,162462
1400000000000000000,1398563475593840559,162462
1450000000000000000,1448510806969595019,162462
1500000000000000000,1498458044822030830,162462
1550000000000000000,1548405188539432497,162462
1600000000000000000,1598352238121999473,162462
1650000000000000000,1648299192958019142,162462
1700000000000000000,1698246054883427150,162462
1750000000000000000,1748192822062686751,162462
1800000000000000000,1798139495107909458,162468
1850000000000000000,1848086074019294719,162468
1900000000000000000,1898032559408951167,162468
1950000000000000000,1947978950665167912,162468
2000000000000000000,1997925247176236366,162468
2050000000000000000,2047871450778080074,162468
2100000000000000000,2097817559635174382,162468
2150000000000000000,2147763574359626767,162468
2200000000000000000,2197709494951636672,162468
2250000000000000000,2247655321411403541,171129
2300000000000000000,2297601054351031393,171129
2350000000000000000,2347546693158813941,171129
2400000000000000000,2397492237834950625,171129
2450000000000000000,2447437688379640887,171129
2500000000000000000,2497383044793084166,171129
2550000000000000000,2547328307075479901,171129
2600000000000000000,2597273475227027531,171129
2650000000000000000,2647218549859827039,171129
2700000000000000000,2697163530362176166,170171
2750000000000000000,2747108416122374953,170171
2800000000000000000,2797053208364422202,170171
2850000000000000000,2846997906476617376,170171
2900000000000000000,2896942510459159912,170171
2950000000000000000,2946887020312249244,170171
3000000000000000000,2996831436036084804,170171
3050000000000000000,3046775757630866027,170171
3100000000000000000,3096719985708687705,178853
3150000000000000000,3146664119657852758,178853
3200000000000000000,3196608159478560616,178853
3250000000000000000,3246552105171010709,178853
3300000000000000000,3296495956735402468,178853
3350000000000000000,3346439714171935322,178853
3400000000000000000,3396383378092700605,178853
3450000000000000000,3446326947274113357,178853
3500000000000000000,3496270422328265488,178853
3550000000000000000,3546213803867246602,178853
3600000000000000000,3596157091279364795,178853
3650000000000000000,3646100284564819494,178853
3700000000000000000,3696043383723810122,178853
3750000000000000000,3745986388756536104,178853
3800000000000000000,3795929299663196863,178853
3850000000000000000,3845872117055878545,178853
3900000000000000000,3895814839711006552,178853
3950000000000000000,3945757469464438743,178853
4000000000000000000,3995700003868831108,178853
4050000000000000000,4045642444760039777,178853
4100000000000000000,4095584791526378599,178853
4150000000000000000,4145527044779930261,178853
4200000000000000000,4195469203297127073,178853
4250000000000000000,4245411267690052294,178853
4300000000000000000,4295353238570786881,178853
4350000000000000000,4345295114715766596,178853
4400000000000000000,4395236897960833745,178853
4450000000000000000,4445178585858665043,178853
4500000000000000000,4495120180856980301,178853
4550000000000000000,4545061681120339501,178853
4600000000000000000,4595003087260821866,178853
4650000000000000000,4644944399890504317,178853
4700000000000000000,4694885618397707607,178853
4750000000000000000,4744826742782631148,178853
4800000000000000000,4794767772433598572,178853
4850000000000000000,4844708708574561423,178853
4900000000000000000,4894649550593842756,178853
4950000000000000000,4944590298491641981,178853
5000000000000000000,4994530952880031981,178853
5050000000000000000,5044471512535464637,178853
5100000000000000000,5094411978681885732,178853
5150000000000000000,5144352350707621198,178853
5200000000000000000,5194292628612870439,178853
5250000000000000000,5244232812397832862,178853
5300000000000000000,5294172902062707871,178853
5350000000000000000,5344112898219564314,178853
5400000000000000000,5394052799644862132,178853
5450000000000000000,5443992607562539038,178853
5500000000000000000,5493932320749057276,178853
5550000000000000000,5543871940428352256,178853
5600000000000000000,5593811465988755085,178853
5650000000000000000,5643750897430465165,178853
5700000000000000000,5693690235365547307,178853
5750000000000000000,5743629478570469511,178853
5800000000000000000,5793568627657297164,178853
5850000000000000000,5843507683238093346,178853
5900000000000000000,5893446644701192621,178853
5950000000000000000,5943385512046794384,178853
6000000000000000000,5993324285275098031,178853
6050000000000000000,6043262964386302957,178853
6100000000000000000,6093201549380608558,178853
6150000000000000000,6143140040258214228,178853
6200000000000000000,6193078437631179014,178853
6250000000000000000,6243016740887841503,178853
6300000000000000000,6292954950028401087,178827
6350000000000000000,6342893065053057159,178827
6400000000000000000,6392831085962009109,178827
6450000000000000000,6442769012755456328,178827
6500000000000000000,6492706845433598205,178827
6550000000000000000,6542644584608489753,178827
6600000000000000000,6592582229668473585,178827
6650000000000000000,6642519780001894619,178827
6700000000000000000,6692457236832661759,178827
6750000000000000000,6742394600160972664,178827
6800000000000000000,6792331868151466764,178827
6850000000000000000,6842269042639903401,178827
6900000000000000000,6892206123626480231,178827
6950000000000000000,6942143109887692881,178827
7000000000000000000,6992080003259293780,178827
7050000000000000000,7042016801294079402,178827
7100000000000000000,7091953505827800448,178827
7150000000000000000,7141890116860654570,178827
7200000000000000000,7191826632557295015,179811
7250000000000000000,7241763055365314859,179811
7300000000000000000,7291699384061216058,179811
7350000000000000000,7341635618033351583,179811
7400000000000000000,7391571758505614204,179811
7450000000000000000,7441507804866356316,179811
7500000000000000000,7491443757115777296,179811
7550000000000000000,7541379615254076521,179801
7600000000000000000,7591315379281453366,179801
7650000000000000000,7641251049809950160,179801
7700000000000000000,7691186625616079795,179801
7750000000000000000,7741122107923726977,179801
7800000000000000000,7791057496121248126,179801
7850000000000000000,7840992789597001965,179801
7900000000000000000,7890927990186709815,179801
7950000000000000000,7940863096055049099,179801
8000000000000000000,7990798108425898759,179801
8050000000000000000,8040733026687618093,179801
8100000000000000000,8090667850228568699,179801
8150000000000000000,8140602579660788870,179801
8200000000000000000,8190537216208151210,179801
8250000000000000000,8240471758035343504,179801
8300000000000000000,8290406205754402314,179801
8350000000000000000,8340340559365527007,179801
8400000000000000000,8390274819480751264,179811
8450000000000000000,8440208985488438983,179811
8500000000000000000,8490143056776956366,179811
8550000000000000000,8540077034570169679,179811
8600000000000000000,8590010918868276559,179811
8650000000000000000,8639944707835980333,179811
8700000000000000000,8689878403920807260,179811
8750000000000000000,8739812005287462391,179811
8800000000000000000,8789745513159806234,179811
8850000000000000000,8839678926926207289,179811
8900000000000000000,8889612246586864914,179811
8950000000000000000,8939545472141978470,179811
9000000000000000000,8989478603591747315,179811
9050000000000000000,9039411640936370806,179811
9100000000000000000,9089344584176048302,179811
9150000000000000000,9139277433922804836,179811
9200000000000000000,9189210189565012935,179811
9250000000000000000,9239142851102871955,179811
9300000000000000000,9289075417924757299,179811
9350000000000000000,9339007891254516799,179811
9400000000000000000,9388940271092348080,179811
9450000000000000000,9438872556214804323,179811
9500000000000000000,9488804747845729901,179811
9550000000000000000,9538736844761680296,179811
9600000000000000000,9588668848798318072,179811
9650000000000000000,9638600757508559447,179811
9700000000000000000,9688532573339884601,179811
9750000000000000000,9738464293845214355,179811
9800000000000000000,9788395921472024283,179811
9850000000000000000,9838327454996875043,179811
9900000000000000000,9888258894419965984,179811
9950000000000000000,9938190239129679988,179811
10000000000000000000,9988121490349849905,179811
10050000000000000000,10038052647468858040,179811
10100000000000000000,10087983710486903739,179811
10150000000000000000,10137914680016000507,179811
10200000000000000000,10187845554832718789,179811
10250000000000000000,10237776336160885674,179811
10300000000000000000,10287707023388886344,179811
10350000000000000000,10337637616516920141,179811
10400000000000000000,10387568114933375121,179811
10450000000000000000,10437498520473884475,179811
10500000000000000000,10487428831915023824,179811
10550000000000000000,10537359048645182953,179811
10600000000000000000,10587289171276371907,179811
10650000000000000000,10637219200420598428,179811
10700000000000000000,10687149135466252297,179811
10750000000000000000,10737078976413532852,179811
10800000000000000000,10787008723874446104,179831
10850000000000000000,10836938376625577461,179831
10900000000000000000,10886867935890739034,179831
10950000000000000000,10936797400446518531,179831
11000000000000000000,10986726771516725761,179831
11050000000000000000,11036656047877950734,179831
11100000000000000000,11086585231365804175,179831
11150000000000000000,11136514320145074022,179831
11200000000000000000,11186443315439565475,179831
11250000000000000000,11236372215414071653,179831
11300000000000000000,11286301022515999016,179831
11350000000000000000,11336229735521942751,179831
11400000000000000000,11386158354432102189,179831
11450000000000000000,11436086879246676655,179831
11500000000000000000,11486015310577664094,179831
11550000000000000000,11535943647201666025,179831
11600000000000000000,11585871889730680965,179831
11650000000000000000,11635800038776705128,179831
11700000000000000000,11685728093728139800,179811
11750000000000000000,11735656053973388566,179811
11800000000000000000,11785583920736242801,179811
11850000000000000000,11835511694016900099,179811
11900000000000000000,11885439372591970037,179811
11950000000000000000,11935366957073447098,179811
12000000000000000000,11985294448685116319,179811
12050000000000000000,12035221844980004435,179811
12100000000000000000,12085149148405481048,179811
12150000000000000000,12135076356514577499,179811
