amount_in,amount_out,gas
0,0,0
50000000000000000,48999647015899354,179729
100000000000000000,97988592154914886,178789
150000000000000000,146966838037579668,178813
200000000000000000,195934387894525497,179737
250000000000000000,244891246177136047,179747
300000000000000000,293837416113211270,179733
350000000000000000,342772900929335330,178783
400000000000000000,391697703850877201,178759
450000000000000000,440611829323429811,179743
500000000000000000,489515279958882904,179783
550000000000000000,538408059589351550,179737
600000000000000000,587290171434952653,178801
650000000000000000,636161619325045415,178775
700000000000000000,685022406477124726,179741
750000000000000000,733872536717796688,179715
800000000000000000,782712013261936866,179715
850000000000000000,831540839933401028,178799
900000000000000000,880359019334324605,178817
950000000000000000,929166555896071503,179771
1000000000000000000,977963452828286653,179771
1050000000000000000,1026749713949333374,179783
1100000000000000000,1075525341856386150,178803
1150000000000000000,1124290340365264340,178773
1200000000000000000,1173044712680591023,179765
1250000000000000000,1221788463834768285,179771
1300000000000000000,1270521595200631749,179771
1350000000000000000,1319244111807780825,179771
1400000000000000000,1367956016245967998,178783
1450000000000000000,1416657312322802375,179743
1500000000000000000,1465348003844428195,179743
1550000000000000000,1514028093396994568,179743
1600000000000000000,1562697584784113529,178787
1650000000000000000,1611356481807934322,178803
1700000000000000000,1660004787660076220,179771
1750000000000000000,1708642506139962636,179757
1800000000000000000,1757269639827683738,179757
1850000000000000000,1805886193129007727,179757
1900000000000000000,1854492169230370904,178811
1950000000000000000,1903087571317014137,179781
2000000000000000000,1951672403181656733,179781
2050000000000000000,2000246667398345725,179771
2100000000000000000,2048810368974364873,178761
2150000000000000000,2097363509872635684,178759
2200000000000000000,2145906094489054917,179701
2250000000000000000,2194438126001112557,179675
2300000000000000000,2242959607585107549,179743
2350000000000000000,2291470543024362049,179743
2400000000000000000,2339970935492597895,178789
2450000000000000000,2388460788162347732,179727
2500000000000000000,2436940105420989509,179739
2550000000000000000,2485408890438286010,179739
2600000000000000000,2533867145167040954,179713
2650000000000000000,2582314875814138258,178785
2700000000000000000,2630752083114171549,179743
2750000000000000000,2679178771447733470,179743
2800000000000000000,2727594944586084038,179717
2850000000000000000,2776000606299037301,179715
2900000000000000000,2824395758532482560,178759
2950000000000000000,2872780406268788303,179745
3000000000000000000,2921154552058906347,179699
3050000000000000000,2969518199667462418,179753
3100000000000000000,3017871352857639717,179773
3150000000000000000,3066214013569680505,177829
3200000000000000000,3114546186778675112,179753
3250000000000000000,3162867875029607785,179739
3300000000000000000,3211179082687456895,179759
3350000000000000000,3259479811687879601,179703
3400000000000000000,3307770067606917912,178803
3450000000000000000,3356049851164194806,179717
3500000000000000000,3404319167932877544,179773
3550000000000000000,3452578019844048003,179727
3600000000000000000,3500826411861030999,179711
3650000000000000000,3549064345912624460,177829
3700000000000000000,3597291825746320823,179731
3750000000000000000,3645508855714562799,179711
3800000000000000000,3693715437742824596,179783
3850000000000000000,3741911576180944229,179829
3900000000000000000,3790097274770879196,179783
3950000000000000000,3838272535434785327,179801
4000000000000000000,3886437363730520394,179769
4050000000000000000,3934591760971777256,179815
4100000000000000000,3982735731501503152,179769
4150000000000000000,4030869277843366282,177829
4200000000000000000,4078992404943321902,179783
4250000000000000000,4127105115322443906,179829
4300000000000000000,4175207412106568496,179761
4350000000000000000,4223299299631574027,179755
4400000000000000000,4271380779203959286,179801
4450000000000000000,4319451856973630643,177829
4500000000000000000,4367512534244758534,179787
4550000000000000000,4415562815347850913,179793
4600000000000000000,4463602703401174992,179839
4650000000000000000,4511632201521835942,178811
4700000000000000000,4559651313430927594,179801
